NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GOCC_COLLAGEN_TYPE_IV_TRIMER	7		Rejected!	
GOCC_FACIT_COLLAGEN_TRIMER	6		Rejected!	
GOCC_BASEMENT_MEMBRANE	94	68		
GOCC_INTERSTITIAL_MATRIX	9		Rejected!	
GOCC_NUCLEAR_ENVELOPE	462	414		
GOCC_NUCLEAR_INNER_MEMBRANE	60	51		
GOCC_NUCLEAR_OUTER_MEMBRANE	27	25		
GOCC_NUCLEAR_ENVELOPE_LUMEN	10		Rejected!	
GOCC_ANNULATE_LAMELLAE	6		Rejected!	
GOCC_NUCLEAR_PORE	85	76		
GOCC_NUCLEAR_LAMINA	10		Rejected!	
GOCC_NUCLEOLAR_RIBONUCLEASE_P_COMPLEX	5		Rejected!	
GOCC_REPLICATION_FORK	65	62		
GOCC_ALPHA_DNA_POLYMERASE_PRIMASE_COMPLEX	5		Rejected!	
GOCC_DNA_REPLICATION_FACTOR_A_COMPLEX	13		Rejected!	
GOCC_DNA_REPLICATION_FACTOR_C_COMPLEX	5		Rejected!	
GOCC_RNA_POLYMERASE_II_CORE_COMPLEX	15	15		
GOCC_RNA_POLYMERASE_III_COMPLEX	18	18		
GOCC_TRANSCRIPTION_REGULATOR_COMPLEX	409	336		
GOCC_TRANSCRIPTION_FACTOR_TFIID_COMPLEX	34	31		
GOCC_ADA2_GCN5_ADA3_TRANSCRIPTION_ACTIVATOR_COMPLEX	15		Rejected!	
GOCC_TRANSCRIPTION_FACTOR_TFIIA_COMPLEX	5		Rejected!	
GOCC_TRANSCRIPTION_FACTOR_TFIIH_HOLO_COMPLEX	13		Rejected!	
GOCC_CHROMATIN_SILENCING_COMPLEX	9		Rejected!	
GOCC_ANAPHASE_PROMOTING_COMPLEX	22	22		
GOCC_SPLICEOSOMAL_COMPLEX	191	186		
GOCC_U5_SNRNP	23	17		
GOCC_U7_SNRNP	7		Rejected!	
GOCC_U2_TYPE_SPLICEOSOMAL_COMPLEX	93	91		
GOCC_U1_SNRNP	32	19		
GOCC_U2_SNRNP	24	21		
GOCC_U4_SNRNP	13		Rejected!	
GOCC_U6_SNRNP	11		Rejected!	
GOCC_U12_TYPE_SPLICEOSOMAL_COMPLEX	29	27		
GOCC_CHROMOSOME	1782		Rejected!	
GOCC_TELOMERASE_HOLOENZYME_COMPLEX	22	20		
GOCC_PERICENTRIC_HETEROCHROMATIN	20	19		
GOCC_PERICHROMATIN_FIBRILS	5		Rejected!	
GOCC_NUCLEOLUS	1386		Rejected!	
GOCC_SNO_S_RNA_CONTAINING_RIBONUCLEOPROTEIN_COMPLEX	30	25		
GOCC_RNA_POLYMERASE_I_COMPLEX	13		Rejected!	
GOCC_MITOCHONDRION	1627		Rejected!	
GOCC_MITOCHONDRIAL_ENVELOPE	778		Rejected!	
GOCC_MITOCHONDRIAL_OUTER_MEMBRANE_TRANSLOCASE_COMPLEX	9		Rejected!	
GOCC_TIM23_MITOCHONDRIAL_IMPORT_INNER_MEMBRANE_TRANSLOCASE_COMPLEX	14		Rejected!	
GOCC_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_IV	12		Rejected!	
GOCC_MITOCHONDRIAL_MATRIX	476	446		
GOCC_MITOCHONDRIAL_LARGE_RIBOSOMAL_SUBUNIT	57	57		
GOCC_MITOCHONDRIAL_SMALL_RIBOSOMAL_SUBUNIT	28	28		
GOCC_SECONDARY_LYSOSOME	16	15		
GOCC_ENDOSOME	978		Rejected!	
GOCC_EARLY_ENDOSOME	378	342		
GOCC_LATE_ENDOSOME	275	252		
GOCC_MULTIVESICULAR_BODY	62	55		
GOCC_VACUOLE	792		Rejected!	
GOCC_VACUOLAR_MEMBRANE	431	396		
GOCC_VACUOLAR_LUMEN	173	150		
GOCC_AUTOPHAGOSOME	99	93		
GOCC_ENDOPLASMIC_RETICULUM	1960		Rejected!	
GOCC_SEC61_TRANSLOCON_COMPLEX	5		Rejected!	
GOCC_SIGNAL_PEPTIDASE_COMPLEX	6		Rejected!	
GOCC_ENDOPLASMIC_RETICULUM_LUMEN	305	240		
GOCC_SMOOTH_ENDOPLASMIC_RETICULUM	30	25		
GOCC_ROUGH_ENDOPLASMIC_RETICULUM	75	69		
GOCC_ENDOPLASMIC_RETICULUM_GOLGI_INTERMEDIATE_COMPARTMENT	130	121		
GOCC_GOLGI_APPARATUS	1608		Rejected!	
GOCC_GOLGI_STACK	152	129		
GOCC_GOLGI_LUMEN	101	64		
GOCC_GOLGI_MEDIAL_CISTERNA	11		Rejected!	
GOCC_GOLGI_ASSOCIATED_VESICLE	92	78		
GOCC_CIS_GOLGI_NETWORK	71	55		
GOCC_TRANS_GOLGI_NETWORK	251	224		
GOCC_LIPID_DROPLET	95	91		
GOCC_CENTROSOME	608		Rejected!	
GOCC_CENTRIOLE	141	130		
GOCC_MICROTUBULE_ORGANIZING_CENTER	804		Rejected!	
GOCC_ASTER	10		Rejected!	
GOCC_SPINDLE	381	354		
GOCC_POLAR_MICROTUBULE	5		Rejected!	
GOCC_KINETOCHORE_MICROTUBULE	7		Rejected!	
GOCC_CHAPERONIN_CONTAINING_T_COMPLEX	11		Rejected!	
GOCC_HEMOGLOBIN_COMPLEX	12		Rejected!	
GOCC_PROTEASOME_CORE_COMPLEX	20	19		
GOCC_RIBOSOME	229	217		
GOCC_POLYSOME	68	66		
GOCC_MRNA_CAP_BINDING_COMPLEX	11		Rejected!	
