"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"SLC30A1",1.90218140956032e-14,0.201347312030011,0.164,0.074,3.81387372616844e-10
"C2",2.35117005959076e-14,0.513682798059939,0.371,0.25,4.71409596947947e-10
"PIM3",2.78222223276684e-14,0.537625170643887,0.392,0.27,5.57835557669752e-10
"ENO1",2.84050252138905e-14,0.316559163821581,0.896,0.908,5.69520755538505e-10
"DBI",5.94363952500222e-14,0.287583262765735,0.895,0.905,1.19169972476295e-09
"CD72",7.87748471804803e-14,0.260060504576511,0.156,0.071,1.57943568596863e-09
"CAPG",9.25311063832182e-14,0.352225942797357,0.917,0.948,1.85524868298352e-09
"RELB",9.89102264525528e-14,0.26444175981867,0.203,0.105,1.98315004037368e-09
"AKR1B1",1.41232329279428e-13,0.396330387875594,0.522,0.413,2.83170820205252e-09
"SNN",1.71300648755143e-13,0.303983472109511,0.235,0.132,3.43457800754061e-09
"NFKBIA",2.30690345391148e-13,0.714109361449352,0.611,0.563,4.62534142509252e-09
"PTPRJ",3.66208319995184e-13,0.370624982670104,0.368,0.256,7.34247681590343e-09
"PITHD1",3.75461437878164e-13,0.394816988839234,0.344,0.231,7.52800182945718e-09
"CTSA",4.11782610447304e-13,0.355988455743639,0.703,0.643,8.25624133946845e-09
"DOCK4",4.44074493907094e-13,0.29128667385153,0.251,0.143,8.90369360283723e-09
"SLC2A3",5.29698223566393e-13,0.594397929609646,0.449,0.341,1.06204493825062e-08
"CYFIP1",6.33740058246682e-13,0.367999485075618,0.559,0.48,1.2706488167846e-08
"FOSL2",6.51250944649173e-13,0.405006991992199,0.251,0.151,1.30575814402159e-08
"ANKRD29",6.97048840732736e-13,0.224967685092712,0.118,0.048,1.39758292566913e-08
"IL6R",7.52760830387884e-13,0.294870278779944,0.288,0.176,1.50928546492771e-08
"ERO1A",8.09359690219116e-13,0.347165330964321,0.455,0.353,1.62276617888933e-08
"ANXA6",9.26787793666216e-13,0.200619142869005,0.258,0.144,1.85820952630076e-08
"NOTCH2",1.00088914483577e-12,0.3911249224837,0.379,0.271,2.00678273539572e-08
"SPAG9",1.18964554340444e-12,0.510460635985596,0.468,0.368,2.3852393145259e-08
"LIMS1",1.21482057144986e-12,0.494040447895786,0.765,0.72,2.43571524575696e-08
"TUBGCP2",1.22889691338398e-12,0.343438338343203,0.457,0.352,2.46393831133488e-08
"SLC26A11",1.28968520926877e-12,0.239898674644144,0.209,0.112,2.58581884458387e-08
"DMXL2",1.56171599393276e-12,0.435740743632636,0.489,0.389,3.13124056783519e-08
"TBC1D2",2.23993939146674e-12,0.36360575598115,0.374,0.265,4.49107847989081e-08
"DHRS9",2.93367773944627e-12,0.270773368702731,0.198,0.106,5.88202386758977e-08
"PLEKHM2",3.68200384582828e-12,0.415354068606401,0.423,0.32,7.3824177108857e-08
"CTSH",4.95085347895184e-12,0.292184801078007,0.891,0.881,9.92646122529843e-08
"MYLIP",5.28972172978229e-12,0.209994538457557,0.135,0.061,1.06058920682135e-07
"LIPA",7.42961256533793e-12,0.488228021544539,0.687,0.656,1.48963731935026e-07
"TSTD1",9.38158739992919e-12,0.304586598824764,0.397,0.287,1.8810082736858e-07
"NFKB2",9.59437345782345e-12,0.280288849812613,0.178,0.093,1.9236718782936e-07
"BMP2K",1.01155740708801e-11,0.360722177186519,0.449,0.347,2.02817260121145e-07
"SDCBP",1.08230269154512e-11,0.261836016236443,0.911,0.887,2.17001689654797e-07
"PLEKHA2",1.24664307846613e-11,0.324225391402821,0.366,0.257,2.49951937232459e-07
"IFNAR1",1.30843615497279e-11,0.34228774874282,0.488,0.391,2.62341449072045e-07
"CTSK",1.44240656792756e-11,0.369232299176956,0.143,0.068,2.89202516869476e-07
"PKD2L1",1.90050546914748e-11,0.223827222972954,0.143,0.068,3.81051346564069e-07
"ABCC5",1.96606562701843e-11,0.20231545570849,0.173,0.09,3.94196158217195e-07
"PLXND1",2.60402111832441e-11,0.347296938155014,0.363,0.261,5.22106234224044e-07
"MXD1",2.90649733088031e-11,0.474082155270343,0.201,0.116,5.82752714841502e-07
"GNPTAB",3.23864978895576e-11,0.344915417586016,0.457,0.36,6.4934928268563e-07
"TPRA1",4.6552237601482e-11,0.251603597188964,0.207,0.118,9.33372363909714e-07
"P2RX7",5.37521219049552e-11,0.451943972237504,0.348,0.255,1.07773004419435e-06
"SLC43A3",6.06314110061163e-11,0.440154619826245,0.475,0.387,1.21565979067263e-06
"CD4",6.74129793694597e-11,0.396080684593127,0.509,0.428,1.35163023635767e-06
"AHR",7.44003264932011e-11,0.368153779503796,0.425,0.319,1.49172654618868e-06
"TFEB",8.57790348395927e-11,0.23579695035936,0.198,0.111,1.71986964853383e-06
