"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LILRB1",1.05090940790165e-29,0.316993590870863,0.429,0.256,2.10707336284281e-25
"SSR4",1.18482723532316e-29,0.288170628954676,0.879,0.798,2.37557860682294e-25
"MACC1",1.01680733547387e-28,0.216372894768611,0.251,0.118,2.03869870762511e-24
"ATF3",1.02513788401506e-28,0.314179903469736,0.148,0.052,2.0554014574502e-24
"CD83",2.10914118244389e-28,0.407311914019121,0.469,0.302,4.22882807080001e-24
"IQSEC1",3.4611474488534e-28,0.224095472892288,0.523,0.332,6.93960063495108e-24
"PPDPF",7.75869804323559e-28,0.379910841670053,0.856,0.796,1.55561895766874e-23
"RDX",1.5194806094956e-27,0.316273982798886,0.533,0.357,3.04655862203867e-23
"MT-ND1",1.75742376460867e-27,0.287401636595861,0.989,0.985,3.52363464804039e-23
"KLHL6",1.80912117815573e-27,0.202988700422215,0.333,0.178,3.62728796220223e-23
"PPIF",4.22168056283437e-27,0.343601142642608,0.368,0.209,8.4644695284829e-23
"MT-ND2",4.48894873357811e-27,0.305719579988065,0.987,0.984,9.00034221082411e-23
"MSRB2",4.57307919997504e-27,0.22833584957824,0.481,0.3,9.16902379594995e-23
"AIF1",9.00063119301357e-27,0.277865468139782,0.939,0.91,1.80462655419922e-22
"FCGR1A",9.954643862197e-27,0.307460449432035,0.538,0.361,1.9959060943705e-22
"PLXND1",1.97991011337318e-26,0.242626461365092,0.39,0.229,3.96971977731323e-22
"NOTCH2",3.44375654721389e-26,0.277132593954922,0.397,0.241,6.90473187716386e-22
"MYO5A",7.08482819317077e-26,0.298780453594732,0.5,0.327,1.42050805273074e-21
"CREG1",7.2470711384329e-26,0.310595445804258,0.724,0.566,1.4530377632558e-21
"PTPN1",7.79171130749303e-26,0.270297350531831,0.414,0.251,1.56223811715235e-21
"FKBP2",2.7119898507234e-25,0.30049836032178,0.729,0.556,5.43753965070043e-21
"P2RX4",5.52176938323222e-25,0.268057323837381,0.556,0.372,1.10711476133806e-20
"PLEKHA2",6.12562802175296e-25,0.222503405498361,0.385,0.228,1.22818841836147e-20
"PLA2G7",7.72016768143792e-25,0.456811935628748,0.418,0.273,1.5478936201283e-20
"CREM",1.34415347452739e-24,0.35818551178142,0.221,0.109,2.69502771642742e-20
"ADAM8",2.18122685345264e-24,0.289919855501252,0.19,0.087,4.37335984117255e-20
"TNFAIP3",3.29709653184618e-24,0.270934002251223,0.245,0.124,6.6106785463516e-20
"TALDO1",4.78111368499045e-24,0.299530557827099,0.856,0.807,9.58613293840585e-20
"MARCH2",5.56708622430528e-24,0.243093096450957,0.547,0.374,1.11620078797321e-19
"GLUL",5.59854085106382e-24,0.291287514027238,0.938,0.884,1.1225074406383e-19
"MT-ND5",6.25758108638449e-24,0.263232576112375,0.985,0.976,1.25464500782009e-19
"ATP2B1",9.15605807028684e-24,0.325265313198907,0.636,0.451,1.83578964309251e-19
"MMP14",1.12788563548526e-23,0.230398653435377,0.344,0.198,2.26141069914795e-19
"PRDX4",1.19756934262962e-23,0.237052662209758,0.501,0.338,2.4011265319724e-19
"SGK1",1.45788299844909e-23,0.457892195398075,0.634,0.465,2.92305541189043e-19
"CLEC4E",1.60819960183269e-23,0.337423717781356,0.375,0.232,3.22444020167455e-19
"ATP13A3",2.66514124007708e-23,0.393230254315587,0.446,0.293,5.34360818635454e-19
"TYROBP",3.21912045252365e-23,0.218167235130016,0.986,0.99,6.45433650730992e-19
"LAIR1",3.53556937509071e-23,0.247837227633447,0.701,0.53,7.08881659705687e-19
"LPCAT1",6.51220794179058e-23,0.214161503609805,0.142,0.056,1.30569769232901e-18
"TUBA1C",9.27561246749739e-23,0.32886903823948,0.722,0.585,1.85976029973323e-18
"HOMER3",1.10705603207661e-22,0.201646829876945,0.307,0.173,2.2196473443136e-18
"GBP1",1.12591127636225e-22,0.659672942935999,0.51,0.363,2.25745210910632e-18
"ACBD3",1.52569412927346e-22,0.259004296845487,0.471,0.31,3.05901672919329e-18
"VAMP5",1.55946606011466e-22,0.318583646513247,0.446,0.29,3.12672945052988e-18
"SLC15A3",3.01914698384839e-22,0.270827929324391,0.715,0.569,6.05338970261603e-18
"LGALS3BP",3.3129763354971e-22,0.23729592072341,0.585,0.422,6.64251755267168e-18
"CYSTM1",3.98544410478193e-22,0.301934074061073,0.593,0.426,7.99081543008776e-18
"GBP5",4.68924132756795e-22,0.262372009429732,0.117,0.042,9.40192886177374e-18
"VOPP1",1.6281996377335e-21,0.213870858757872,0.471,0.307,3.26454027365567e-17
"CYB561A3",1.63151233405921e-21,0.22289921093492,0.258,0.142,3.27118222978872e-17
"NTAN1",1.70936020043327e-21,0.246660941737177,0.543,0.366,3.42726720186871e-17
"PLA2G16",2.34045672675603e-21,0.224165117533078,0.485,0.336,4.69261573714585e-17
"OST4",2.6357782210149e-21,0.258193164531705,0.832,0.743,5.28473533313487e-17
"CISD2",3.36781503018889e-21,0.215759822128621,0.525,0.357,6.75246913552872e-17
"ATP1B1",4.20021317852141e-21,0.242310956813002,0.509,0.353,8.42142742293542e-17
"HLA-DOA",4.48962886605538e-21,0.200179939559519,0.425,0.274,9.00170587644104e-17
"SPHK1",4.69383808109811e-21,0.278590250895184,0.14,0.059,9.41114535260171e-17
"PRNP",6.90360362764596e-21,0.24388539106531,0.567,0.403,1.38417252734302e-16
"PIM3",1.02590559514828e-20,0.288400858584071,0.39,0.245,2.0569407182723e-16
"NDRG1",1.44657758346748e-20,0.224096310927557,0.286,0.162,2.90038805485229e-16
"NFKBIA",3.07375511312697e-20,0.555177852075929,0.652,0.537,6.16287900181958e-16
"FABP3",6.37579188909576e-20,0.241072609892236,0.14,0.059,1.2783462737637e-15
"RRBP1",1.06410746214286e-19,0.256097610240593,0.612,0.463,2.13353546159643e-15
"MITF",1.20561824265663e-19,0.201735417884414,0.384,0.242,2.41726457652654e-15
